Policy Intervention,Date of Introduction,Source Notes,Termination. Date/Year,Termination. Comment,Termination. Source Note
Import Parity Pricing for 'New' Oil,September,1975 1,Not specified,,
National Competition Policy (Hilmer Reforms) (Agreed to separate monopoly network elements from contestable elements),April 1995 (Intergovernmental Agreements signed),2,N/A,,
National Electricity Market (NEM),May 1997 (Stage 1); 13 December 1998 (Full operation),3-6,N/A,,
Reform of Energy Markets Initiative (To create national electricity and natural gas markets),11 December,2003 7,N/A,,
Australian Energy Market Agreement (AEMA),2004,8,N/A,,
Australian Energy Market Commission (AEMC) Establishment,2005,"7, 9, 10",N/A,,
Australian Energy Regulator (AER) Establishment,2005,"11, 12",N/A,,
Wholesale Electricity Market in South West Interconnected System (WA),2006,13,N/A,,
Western Australia Domestic Gas Reservation Policy (Requires gas exporters to reserve 15% of production for the domestic market),2006 (Formalised),14-16,N/A,"Updated with new conditions in 2011, 2020, 2023, and 2024",17
Low Emissions Technology Demonstration Fund (LETDF),2007,14,Not specified,,
Queensland Feed-in Tariff,July,2008 18,1 July 2014,for 8c/kWh applications; 44c/kWh runs until 1 July 2028,18
ACT Feed-in Tariff (Initial scheme),March,2009 18,30 June 2013,,18
Australian Energy Market Operator (AEMO) Establishment,1 July,"2009 19, 20",N/A,,
Victoria Premium Feed-in Tariff,November,2009 18,September 2011,Closed to new applicants 29 December 2011,18
New South Wales Feed-in Tariff (Solar Bonus Scheme),1 July 2010 (Start of 66c rate),18,October 2010; April 2011,October 2010 Cut to 20c; April 2011 Retrospectively closed to new applicants,"18, 21"
Carbon Tax (Price on carbon emissions set at $23/tonne),July,"2012 22, 23",July 2014,Repealed,23
ACT Feed-in Tariff (Second iteration),July,2013 18,Runs for 20 years,,18
Victoria Current Feed-in Tariff,1 July,2017 18,N/A,,18
Australian Domestic Gas Security Mechanism (ADGSM),1 July,2017 24-27,Scheduled to be repealed 1 January 2030,,28
Heads of Agreement (HoA) with East Coast LNG Exporters,October,"2017 29, 30",Current agreement expires 1 January 2026,,30
Default Market Offer (DMO) / Victorian Default Offer (Price caps for standing offers),July,"2019 31, 32",N/A,,
Retailer Reliability Obligation (RRO),2019,33,N/A,,
Prohibition of Electricity Market Misconduct (PEMM) Laws,June,2020 34,N/A,,
Fuel Excise Cut (50% cut in response to energy price spikes),Early,2022 35,Late 2022 / Early 2023,Returned to full rate,36
Gas Supply Guarantee (GSG),Unknown (Triggered first time 1 June 2022),"37, 38",May 2023,Replaced by AEMO's reliability and supply adequacy functions,37
National Gas Amendment (Market Transparency) Rule 2022,June,2022 39,N/A,,
Expanded Wholesale Market Monitoring Powers (AER),23 June 2022 (Passed) / 8 May 2024 (Proclaimed),"40, 41",N/A,,
New South Wales Coal Market Price Emergency (Coal price cap),22 December,2022 42,30 June 2024,,43
Temporary Emergency Gas Price Cap ($12/GJ),23 December,2022 44-47,December 2023,Replaced by the Mandatory Gas Market Code,"44, 48"
AEMO Reliability and Supply Adequacy Framework (Stage 1 powers to manage gas shortfalls),May,2023 49,N/A,,
ACT Ban on New Fossil Fuel Gas Connections,2023 (Legislation introduced in 2022),"50, 51",N/A,,
Mandatory Gas Market Code,11 July 2023 (Transition period until 11 September 2023),"44, 48, 52",Scheduled to sunset 1 October 2033,,52
Capacity Investment Scheme (CIS),May 2024 (First competitive tender launched),53,N/A,Rollout planned through 2027,53
Energy Bill Relief Fund (Federal electricity rebates),July 2024 (Rolled out across states),54,N/A,,
