Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
"2016-01-01",1,2016-01-01 08:00:00,1809.531,2016-01-01 07:11:36,1290.111,413.771,1703.882,-29.59,"2017-01-12 16:28:29"
"2016-01-01",2,2016-01-01 08:30:00,1849.817,2016-01-01 07:41:35,1316.867,396.154,1713.021,-28.41,
"2016-01-01",3,2016-01-01 09:00:00,1815.533,2016-01-01 08:11:36,1349.604,385.997,1735.601,-29.56,
"2016-01-01",4,2016-01-01 09:30:00,1871.616,2016-01-01 08:41:35,1387.346,369.394,1756.74,-29.56,
"2016-01-01",5,2016-01-01 10:00:00,1902.736,2016-01-01 09:11:34,1359.176,371.576,1730.752,-29.56,
"2016-01-01",6,2016-01-01 10:30:00,1895.498,2016-01-01 09:41:35,1418.369,350.599,1768.968,20.78,
"2016-01-01",7,2016-01-01 11:00:00,1897.012,2016-01-01 10:11:35,1482.596,332.691,1815.287,4,
"2016-01-01",8,2016-01-01 11:30:00,1923.035,2016-01-01 10:41:35,1558.383,307.943,1866.326,21.89,
"2016-01-01",9,2016-01-01 12:00:00,1963.821,2016-01-01 11:11:37,1668.757,259.024,1927.781,29.21,
"2016-01-01",10,2016-01-01 12:30:00,1977.112,2016-01-01 11:41:35,1741.769,252.837,1994.606,31.23,
"2016-01-01",11,2016-01-01 13:00:00,2015.475,2016-01-01 12:11:38,1836.28,235.043,2071.323,31.73,
"2016-01-01",12,2016-01-01 13:30:00,2080.261,2016-01-01 12:41:36,1887.13,264.5,2151.63,31.65,
"2016-01-01",13,2016-01-01 14:00:00,2142.879,2016-01-01 13:11:34,1956.479,287.489,2243.968,39.13,
"2016-01-01",14,2016-01-01 14:30:00,2250.325,2016-01-01 13:41:37,2036.705,262.471,2299.176,39.13,
"2016-01-01",15,2016-01-01 15:00:00,2337.001,2016-01-01 14:11:33,2136.001,265.767,2401.768,39.09,
"2016-01-01",16,2016-01-01 15:30:00,2457.795,2016-01-01 14:41:36,2205.229,272.034,2477.263,38.95,
"2016-01-01",17,2016-01-01 16:00:00,2518.415,2016-01-01 15:11:33,2297.351,267.144,2564.495,39.03,
"2016-01-01",18,2016-01-01 16:30:00,2541.801,2016-01-01 15:41:34,2373.896,275.127,2649.023,42.01,
"2016-01-01",19,2016-01-01 17:00:00,2600.758,2016-01-01 16:11:36,2383.826,293.814,2677.64,42.17,
"2016-01-01",20,2016-01-01 17:30:00,2565.987,2016-01-01 16:41:37,2388.513,336.167,2724.68,42.23,
"2016-01-01",21,2016-01-01 18:00:00,2601.794,2016-01-01 17:11:37,2369.647,336.296,2705.943,42.21,
"2016-01-01",22,2016-01-01 18:30:00,2592.531,2016-01-01 17:41:36,2333.14,331.103,2664.243,41.8,
"2016-01-01",23,2016-01-01 19:00:00,2668.611,2016-01-01 18:11:35,2296.432,336.196,2632.628,41.89,
"2016-01-01",24,2016-01-01 19:30:00,2719.725,2016-01-01 18:41:36,2328.622,334.672,2663.294,42.13,
